"episode","index","picard","riker","geordi","tasha","worf","beverly","pulaski","troi","data","wesley","tot_words","picard_prop","riker_prop","geordi_prop","tasha_prop","worf_prop","beverly_prop","pulaski_prop","troi_prop","data_prop","wesley_prop","released","episode_number","season"
"11001001",14,1367,1297,225,145,72,156,0,0,425,191,3878,0.352501289324394,0.334450747808149,0.0580195977307891,0.0373904074265085,0.0185662712738525,0.0402269210933471,0,0,0.10959257349149,0.0492521918514698,1988-01-30,14,1
"a fistful of datas",131,345,99,433,0,758,135,0,437,783,0,2990,0.115384615384615,0.0331103678929766,0.144816053511706,0,0.253511705685619,0.0451505016722408,0,0.146153846153846,0.261872909698997,0,1992-11-07,8,6
"allegiance",64,2147,535,89,0,83,294,0,127,241,91,3607,0.595231494316607,0.148322705849737,0.0246742445245356,0,0.0230108123093984,0.0815081785417244,0,0.0352093152204048,0.0668145273080122,0.0252287219295814,1990-03-24,18,3
"all good things...",174,4711,758,921,333,526,1375,0,588,1620,0,10832,0.434915066469719,0.0699778434268833,0.0850258493353028,0.0307422451994092,0.0485598227474151,0.12693870014771,0,0.0542836041358936,0.149556868537666,0,1994-05-23,25,7
"a matter of honor",32,807,1282,0,0,258,0,98,0,223,290,2958,0.272819472616633,0.433400946585531,0,0,0.0872210953346856,0,0.033130493576741,0,0.0753887762001352,0.0980392156862745,1989-02-04,8,2
"a matter of perspective",60,1427,983,563,0,86,33,0,117,435,110,3754,0.380127863612147,0.261854022376132,0.149973361747469,0,0.0229088971763452,0.00879062333510922,0,0.0311667554608418,0.115876398508258,0.0293020777836974,1990-02-10,14,3
"a matter of time",106,1728,418,665,0,245,222,0,114,745,0,4137,0.417693981145758,0.101039400531786,0.160744500846024,0,0.0592216582064298,0.0536620739666425,0,0.0275562001450326,0.180082185158327,0,1991-11-16,9,5
"angel one",13,491,1000,283,294,116,516,0,381,652,91,3824,0.128399581589958,0.261506276150628,0.0740062761506276,0.0768828451882845,0.0303347280334728,0.134937238493724,0,0.0996338912133891,0.170502092050209,0.0237970711297071,1988-01-23,13,1
"aquiel",136,455,735,1276,0,230,583,0,3,42,0,3324,0.136883273164862,0.221119133574007,0.383874849578821,0,0.069193742478941,0.175391095066185,0,0.000902527075812274,0.0126353790613718,0,1993-01-30,13,6
"attached",157,1375,1098,0,0,237,1479,0,75,147,0,4411,0.311720698254364,0.248923146678758,0,0,0.053729313080934,0.335298118340512,0,0.0170029471775108,0.0333257764679211,0,1993-11-06,8,7
"birthright: part 1",139,247,41,404,0,836,62,0,118,1143,0,2851,0.0866362679761487,0.014380918975798,0.141704665029814,0,0.293230445457734,0.0217467555243774,0,0.0413889863205893,0.400911960715538,0,1993-02-20,16,6
"birthright: part 2",140,234,47,36,0,1607,15,0,23,35,0,1997,0.117175763645468,0.0235353029544316,0.0180270405608413,0,0.804707060590886,0.00751126690035053,0,0.0115172759138708,0.0175262894341512,0,1993-02-27,17,6
"bloodlines",171,2368,216,445,0,152,468,0,134,635,0,4418,0.535989135355364,0.0488909008601177,0.100724309642372,0,0.0344047080126754,0.105930285196922,0,0.0303304662743323,0.143730194658216,0,1994-04-30,22,7
"booby trap",52,1122,631,1831,0,160,82,0,19,577,117,4539,0.247191011235955,0.139017404714695,0.403392817801278,0,0.0352500550782111,0.0180656532275832,0,0.00418594404053756,0.127120511125799,0.0257766027759418,1989-10-28,6,3
"brothers",75,572,671,389,0,191,319,0,37,873,108,3160,0.181012658227848,0.212341772151899,0.123101265822785,0,0.0604430379746835,0.100949367088608,0,0.0117088607594937,0.27626582278481,0.0341772151898734,1990-10-06,3,4
"captain's holiday",65,1857,431,0,0,37,159,0,189,0,0,2673,0.694725028058361,0.161242050130939,0,0,0.0138421249532361,0.0594837261503928,0,0.0707070707070707,0,0,1990-03-31,19,3
"cause and effect",115,788,457,1176,0,275,1249,0,111,987,0,5043,0.156256196708309,0.090620662304184,0.233194527067222,0,0.0545310331152092,0.247670037675987,0,0.0220107079119572,0.195716835217133,0,1992-03-21,18,5
"chain of command: part 1",133,1093,516,185,0,182,356,0,219,105,0,2656,0.411521084337349,0.194277108433735,0.0696536144578313,0,0.0685240963855422,0.134036144578313,0,0.0824548192771084,0.0395331325301205,0,1992-12-12,10,6
"chain of command: part 2",134,851,387,453,0,101,114,0,80,185,0,2171,0.391985260248733,0.178258866881621,0.208659603869185,0,0.0465223399355136,0.0525103638876094,0,0.0368493781667434,0.0852141870105942,0,1992-12-19,11,6
"clues",85,2206,289,475,0,253,599,0,311,1247,0,5380,0.41003717472119,0.0537174721189591,0.0882899628252788,0,0.0470260223048327,0.111338289962825,0,0.0578066914498141,0.2317843866171,0,1991-02-09,14,4
"code of honor",3,1559,607,199,546,0,205,0,529,664,27,4336,0.359547970479705,0.139990774907749,0.0458948339483395,0.125922509225092,0,0.0472785977859779,0,0.12200184501845,0.153136531365314,0.00622693726937269,1987-10-10,3,1
"coming of age",18,1068,378,136,104,195,56,0,42,188,747,2914,0.366506520247083,0.129718599862732,0.0466712422786548,0.0356897735072066,0.0669183253260124,0.0192175703500343,0,0.0144131777625257,0.0645161290322581,0.256348661633493,1988-03-12,18,1
"conspiracy",24,1475,460,204,0,156,211,0,129,550,0,3185,0.463108320251177,0.144427001569859,0.0640502354788069,0,0.0489795918367347,0.0662480376766091,0,0.0405023547880691,0.172684458398744,0,1988-05-07,24,1
"contagion",35,1861,800,624,0,399,0,59,157,713,186,4799,0.387789122733903,0.166701396124193,0.13002708897687,0,0.083142321316941,0,0.0122942279641592,0.0327151489893728,0.148572619295687,0.0387580745988748,1989-03-18,11,2
"conundrum",111,889,861,611,0,472,428,0,471,588,0,4320,0.205787037037037,0.199305555555556,0.141435185185185,0,0.109259259259259,0.0990740740740741,0,0.109027777777778,0.136111111111111,0,1992-02-15,14,5
"cost of living",117,539,217,513,0,416,0,0,740,445,0,2870,0.18780487804878,0.075609756097561,0.178745644599303,0,0.144947735191638,0,0,0.257839721254355,0.155052264808362,0,1992-04-18,20,5
"dark page",156,427,50,6,0,12,357,0,2221,58,0,3131,0.136378153944427,0.0159693388693708,0.0019163206643245,0,0.00383264132864899,0.114021079527308,0,0.709358032577451,0.0185244330884701,0,1993-10-30,7,7
"darmok",99,1083,955,291,0,330,45,0,268,583,0,3555,0.30464135021097,0.268635724331927,0.0818565400843882,0,0.0928270042194093,0.0126582278481013,0,0.0753867791842475,0.163994374120956,0,1991-09-28,2,5
"datalore",12,1008,607,319,302,99,241,0,0,1085,393,4054,0.248643315244203,0.149728663048841,0.0786877158362111,0.0744943265910212,0.0244203256043414,0.0594474592994573,0,0,0.267636901825358,0.0969412925505673,1988-01-16,12,1
"data's day",82,666,226,213,0,210,618,0,143,2673,0,4749,0.140240050536955,0.0475889660981259,0.0448515476942514,0,0.0442198357548958,0.130132659507265,0,0.0301116024426195,0.562855337965888,0,1991-01-05,11,4
"descent: part 1",149,1355,649,819,0,365,72,0,219,983,0,4462,0.303675481846706,0.145450470640968,0.183549977588525,0,0.0818018825638727,0.0161362617660242,0,0.0490811295383236,0.22030479605558,0,1993-06-19,26,6
"descent: part 2",150,524,369,497,0,120,744,0,155,790,0,3199,0.16380118787121,0.115348546420756,0.155361050328228,0,0.0375117224132541,0.232572678962176,0,0.0484526414504533,0.246952172553923,0,1993-09-18,1,7
"devil's due",84,2423,135,273,0,95,29,0,83,1086,0,4124,0.587536372453928,0.0327352085354025,0.0661978661493695,0,0.0230358874878758,0.00703200775945684,0,0.0201260911736178,0.263336566440349,0,1991-02-02,13,4
"disaster",102,947,435,367,0,309,267,0,336,428,0,3089,0.306571706053739,0.140822272580123,0.118808675946908,0,0.100032372936225,0.0864357397215928,0,0.108773065717061,0.138556167044351,0,1991-10-19,5,5
"déjà q",59,1056,385,789,0,239,109,0,43,787,0,3408,0.309859154929577,0.112969483568075,0.231514084507042,0,0.0701291079812207,0.0319835680751174,0,0.0126173708920188,0.230927230046948,0,1990-02-03,13,3
"elementary, dear data",28,763,102,1284,0,62,0,727,73,1650,0,4661,0.163698777086462,0.0218837159407852,0.275477365372238,0,0.013301866552242,0,0.155975112636773,0.0156618751340914,0.354001287277408,0,1988-12-03,3,2
"emergence",172,999,443,1089,0,152,169,0,488,1401,0,4741,0.210715039021304,0.0934402024889264,0.22969837587007,0,0.0320607466779161,0.035646488082683,0,0.102931870913309,0.295507276945792,0,1994-05-07,23,7
"encounter at farpoint",1,3051,1598,91,381,347,379,0,587,702,209,7345,0.415384615384615,0.217562968005446,0.0123893805309735,0.0518720217835262,0.0472430224642614,0.0515997277059224,0,0.0799183117767189,0.0955752212389381,0.0284547311095984,1987-09-26,1,1
"ensign ro",100,2270,302,46,0,177,41,0,47,189,0,3072,0.738932291666667,0.0983072916666667,0.0149739583333333,0,0.0576171875,0.0133463541666667,0,0.0152994791666667,0.0615234375,0,1991-10-05,3,5
"ethics",113,562,751,109,0,718,1721,0,258,27,0,4146,0.135552339604438,0.18113844669561,0.0262904003859141,0,0.173178967679691,0.415098890496864,0,0.0622286541244573,0.0065123010130246,0,1992-02-29,16,5
"evolution",47,1340,308,239,0,185,622,0,236,582,706,4218,0.317686107159791,0.0730203888098625,0.0566619250829777,0,0.043859649122807,0.147463252726411,0,0.0559506875296349,0.137980085348506,0.167377904220009,1989-09-23,1,3
"eye of the beholder",167,306,313,310,0,816,309,0,1986,296,0,4336,0.0705719557195572,0.0721863468634686,0.0714944649446494,0,0.188191881918819,0.0712638376383764,0,0.458025830258303,0.0682656826568266,0,1994-02-26,18,7
"face of the enemy",137,617,192,15,0,83,47,0,1400,233,0,2587,0.238500193274063,0.0742172400463858,0.00579822187862389,0,0.0320834943950522,0.0181677618863549,0,0.54116737533823,0.0900657131812911,0,1993-02-06,14,6
"family",74,1310,191,41,0,344,220,0,219,0,33,2358,0.555555555555556,0.0810008481764207,0.0173876166242578,0,0.145886344359627,0.0932994062765055,0,0.0928753180661578,0,0.0139949109414758,1990-09-29,2,4
"final mission",80,1181,581,319,0,108,196,0,55,375,1103,3918,0.301429300663604,0.148289943848903,0.0814190913731496,0,0.0275650842266462,0.0500255232261358,0,0.014037774374681,0.0957120980091884,0.281521184277693,1990-11-17,9,4
"firstborn",170,215,656,71,0,1541,6,0,184,189,0,2862,0.0751222921034242,0.22921034241789,0.0248078266946191,0,0.538434661076171,0.00209643605870021,0,0.0642907058001398,0.0660377358490566,0,1994-04-23,21,7
"first contact",86,1046,388,0,0,28,149,0,163,46,0,1820,0.574725274725275,0.213186813186813,0,0,0.0153846153846154,0.0818681318681319,0,0.0895604395604396,0.0252747252747253,0,1991-02-16,15,4
"force of nature",158,1143,648,1829,0,255,55,0,30,1714,0,5674,0.201445188579485,0.114205146281283,0.322347550229115,0,0.0449418399718012,0.00969333803313359,0,0.00528727529080014,0.302079661614381,0,1993-11-13,9,7
"frame of mind",144,408,2105,20,0,232,552,0,317,152,0,3786,0.107765451664025,0.555995773903856,0.00528262017960909,0,0.0612783940834654,0.145800316957211,0,0.083729529846804,0.0401479133650291,0,1993-05-01,21,6
"galaxy's child",87,757,263,1875,0,271,200,0,106,578,0,4050,0.186913580246914,0.0649382716049383,0.462962962962963,0,0.0669135802469136,0.0493827160493827,0,0.0261728395061728,0.142716049382716,0,1991-03-09,16,4
"gambit: part 1",153,980,1215,269,0,295,159,0,274,726,0,3918,0.250127616130679,0.31010719754977,0.0686574783052578,0,0.0752935171005615,0.0405819295558959,0,0.069933639612047,0.185298621745789,0,1993-10-09,4,7
"gambit: part 2",154,1724,665,76,0,397,130,0,168,847,0,4007,0.430247067631645,0.165959570751185,0.0189668080858498,0,0.0990766159221363,0.0324432243573746,0,0.0419266284002995,0.21138008485151,0,1993-10-16,5,7
"genesis",168,1030,317,210,0,265,563,0,278,1597,0,4260,0.241784037558685,0.0744131455399061,0.0492957746478873,0,0.0622065727699531,0.132159624413146,0,0.0652582159624413,0.374882629107981,0,1994-03-19,19,7
"half a life",93,562,118,263,0,95,34,0,254,180,0,1506,0.373173970783533,0.0783532536520584,0.174634794156707,0,0.0630810092961487,0.0225763612217795,0,0.168658698539177,0.119521912350598,0,1991-05-04,22,4
"haven",10,988,312,124,141,15,143,0,1776,182,0,3681,0.268405324640043,0.084759576202119,0.0336864982341755,0.0383048084759576,0.00407497962510187,0.0388481390926379,0,0.482477587612062,0.0494430861179027,0,1987-11-28,10,1
"heart of glory",19,1089,365,323,298,745,38,0,0,327,0,3185,0.341915227629513,0.114599686028257,0.101412872841444,0.093563579277865,0.233908948194662,0.0119309262166405,0,0,0.102668759811617,0,1988-03-19,19,1
"hero worship",108,769,296,655,0,249,99,0,595,1272,0,3935,0.195425667090216,0.0752223634053367,0.166454891994917,0,0.0632782719186785,0.0251588310038119,0,0.151207115628971,0.323252858958069,0,1992-01-25,11,5
"hide and q",9,1259,875,320,164,105,99,0,89,339,50,3300,0.381515151515152,0.265151515151515,0.096969696969697,0.0496969696969697,0.0318181818181818,0.03,0,0.026969696969697,0.102727272727273,0.0151515151515152,1987-11-21,9,1
"hollow pursuits",67,506,534,1805,0,40,48,0,400,354,166,3853,0.131326239294057,0.138593303919024,0.468466130288087,0,0.0103815208928108,0.012457825071373,0,0.103815208928108,0.0918764599013756,0.0430833117051648,1990-04-28,21,3
"home soil",17,1339,490,283,160,67,196,0,215,545,29,3324,0.402827918170878,0.147412755716005,0.0851383874849579,0.0481347773766546,0.0201564380264741,0.0589651022864019,0,0.0646811070998797,0.16395908543923,0.00872442839951865,1988-02-20,17,1
"homeward",162,932,181,234,0,1012,327,0,80,371,0,3137,0.297099139305069,0.0576984379980873,0.074593560726809,0,0.322601211348422,0.104239719477208,0,0.0255020720433535,0.118265859101052,0,1994-01-15,13,7
"i borg",120,1392,214,1156,0,58,625,0,95,329,0,3869,0.359782889635565,0.0553114499870768,0.298785215818041,0,0.0149909537348152,0.161540449728612,0,0.024554148358749,0.0850348927371414,0,1992-05-09,23,5
"identity crisis",89,437,229,1052,0,146,743,0,0,427,0,3034,0.14403427818062,0.0754779169413316,0.346736980883322,0,0.048121292023731,0.244891232696111,0,0,0.140738299274885,0,1991-03-23,18,4
"imaginary friend",119,727,151,721,0,164,94,0,854,450,0,3161,0.22999050933249,0.0477696931350838,0.228092375830433,0,0.0518823157228725,0.0297374248655489,0,0.270167668459348,0.142360012654223,0,1992-05-02,22,5
"inheritance",159,179,249,508,0,18,242,0,182,1920,0,3298,0.0542753183747726,0.0755003032140691,0.154032747119466,0,0.00545785324439054,0.0733778047301395,0,0.055184960582171,0.582171012734991,0,1993-11-20,10,7
"interface",152,763,290,2527,0,23,538,0,140,1091,0,5372,0.142032762472077,0.0539836187639613,0.470402084884587,0,0.00428145941921072,0.100148920327625,0,0.0260610573343261,0.203090096798213,0,1993-10-02,3,7
"in theory",96,648,554,285,0,217,12,0,106,2005,0,3827,0.169323229683825,0.144760909328456,0.074470864907238,0,0.0567023778416514,0.00313561536451529,0,0.027697935719885,0.523909067154429,0,1991-06-01,25,4
"journey's end",169,1869,116,176,0,147,533,0,87,29,1157,4114,0.454302382109869,0.0281964025279533,0.0427807486631016,0,0.0357316480311133,0.129557608167234,0,0.021147301895965,0.00704910063198833,0.281234807972776,1994-03-26,20,7
"justice",7,1612,347,162,265,91,332,0,163,783,161,3916,0.411644535240041,0.0886108273748723,0.0413687436159346,0.0676710929519918,0.0232379979570991,0.0847803881511747,0,0.0416241062308478,0.199948927477017,0.0411133810010215,1987-11-07,7,1
"legacy",78,842,759,263,0,248,192,0,86,1003,0,3393,0.248157972295903,0.2236958443855,0.0775125257883879,0,0.0730916592985558,0.0565870910698497,0,0.0253463012083702,0.295608605953434,0,1990-10-27,6,4
"lessons",142,1664,581,261,0,110,236,0,78,148,0,3078,0.540610786224821,0.188758934372969,0.0847953216374269,0,0.0357374918778428,0.0766731643924626,0,0.0253411306042885,0.0480831708901884,0,1993-04-03,19,6
"liaisons",151,1775,202,8,0,314,27,0,484,47,0,2857,0.621281064053203,0.0707035351767588,0.00280014000700035,0,0.109905495274764,0.00945047252362618,0,0.169408470423521,0.0164508225411271,0,1993-09-25,2,7
"lonely among us",6,1297,826,367,392,168,512,0,434,703,265,4964,0.261281224818695,0.166398066075745,0.0739323126510878,0.0789685737308622,0.0338436744560838,0.103142626913779,0,0.0874294923448832,0.141619661563255,0.0533843674456084,1987-10-31,6,1
"loud as a whisper",30,1499,504,285,0,97,0,112,400,585,40,3522,0.425610448608745,0.143100511073254,0.0809199318568995,0,0.0275411697898921,0,0.0318001135718342,0.113571834185122,0.166098807495741,0.0113571834185122,1989-01-07,5,2
"lower decks",164,741,568,396,0,348,369,0,169,107,0,2698,0.274647887323944,0.210526315789474,0.146775389177168,0,0.128984432913269,0.136767976278725,0,0.0626389918458117,0.0396590066716086,0,1994-02-05,15,7
"manhunt",43,1466,487,74,0,68,0,273,1963,452,125,4908,0.298696006519967,0.0992257538712306,0.0150774246128769,0,0.0138549307253464,0,0.0556234718826406,0.399959250203749,0.0920945395273024,0.0254686226568867,1989-06-17,19,2
"man of the people",126,1003,488,36,0,142,798,0,903,73,0,3443,0.291315713040953,0.141736857391809,0.010455997676445,0,0.0412431019459773,0.231774615161197,0,0.262271275050828,0.0212024397327912,0,1992-10-03,3,6
"masks",166,1742,531,893,0,257,133,0,515,1332,0,5403,0.322413473995928,0.0982787340366463,0.165278548954285,0,0.0475661669442902,0.0246159540995743,0,0.0953174162502314,0.246529705719045,0,1994-02-19,17,7
"ménage à troi",70,871,617,230,0,121,108,0,478,230,374,3029,0.28755364806867,0.203697589963684,0.0759326510399472,0,0.0399471772862331,0.0356553317926709,0,0.157807857378673,0.0759326510399472,0.123473093430175,1990-05-26,24,3
"new ground",107,568,355,516,0,1405,68,0,429,424,0,3765,0.150863213811421,0.0942895086321381,0.137051792828685,0,0.373173970783533,0.0180610889774236,0,0.11394422310757,0.11261620185923,0,1992-01-04,10,5
"night terrors",88,641,159,229,0,102,663,0,731,1020,0,3545,0.180818053596615,0.044851904090268,0.0645980253878702,0,0.0287729196050776,0.187023977433004,0,0.206205923836389,0.287729196050776,0,1991-03-16,17,4
"parallels",160,308,796,138,0,1596,242,0,668,1156,236,5140,0.0599221789883269,0.154863813229572,0.0268482490272374,0,0.310505836575875,0.0470817120622568,0,0.129961089494163,0.224902723735409,0.0459143968871595,1993-11-27,11,7
"peak performance",45,1181,894,411,0,293,0,348,210,833,253,4423,0.267013339362424,0.20212525435225,0.0929233551887859,0,0.0662446303413972,0,0.0786796292109428,0.0474790865928103,0.188333710151481,0.0572009947999096,1989-07-08,21,2
"pen pals",39,1121,737,78,0,163,0,423,285,884,603,4294,0.261061946902655,0.171634839310666,0.0181648812296227,0,0.0379599441080578,0,0.0985095482068002,0.0663716814159292,0.205868653935724,0.140428504890545,1989-04-29,15,2
"phantasms",155,957,239,1063,0,129,329,0,533,1370,0,4620,0.207142857142857,0.0517316017316017,0.23008658008658,0,0.0279220779220779,0.0712121212121212,0,0.115367965367965,0.296536796536797,0,1993-10-23,6,7
"power play",112,1422,964,496,0,248,319,0,1125,604,0,5178,0.274623406720742,0.186172267284666,0.0957898802626497,0,0.0478949401313248,0.0616067979915025,0,0.217265353418308,0.116647354190807,0,1992-02-22,15,5
"preemptive strike",173,1324,255,19,0,195,25,0,26,308,0,2152,0.615241635687732,0.118494423791822,0.00882899628252788,0,0.0906133828996283,0.0116171003717472,0,0.0120817843866171,0.143122676579926,0,1994-05-14,24,7
